predict_value,currect_value
21000.0,20000.0
37530.0,50000.0
21999.0,29000.0
22000.0,20000.0
22000.0,23000.0
22000.0,30000.0
17399.875028757448,22000.0
36000.0,25000.0
9800.830038587641,7500.0
18526.915655993987,18000.0
17399.875028757448,18000.0
65000.0,75000.0
37530.0,40000.0
10590.057212495834,12000.0
65000.0,80000.0
22000.0,22000.0
36000.0,48000.0
65000.0,46000.0
21000.0,17800.0
13999.0,13000.0
12000.0,5800.0
65000.0,79800.0
10590.057212495834,25600.0
37530.0,23000.0
21000.0,19600.0
36000.0,35000.0
65000.0,100000.0
9800.830038587641,12000.0
9800.830038587641,5100.0
17399.875028757448,16500.0
9800.830038587641,20000.0
22000.0,30000.0
9999.0,16000.0
